english,name,type,dosage,disposition
DIPHENHYDRAMINE HYDROCHLORIDE,دیفن هیدرامین-عماد,محلول,12.5 mg/5mL 60 mL,خوراکی 
MEGLUMINE COMPOUND,دی پی گرافین,تزریقی,66 %/10 % 20 mL,پرنترال 
NYSTATIN,نیستاتین-عماد,پودر,100000 [iU]/1mL mL,برای تهیه سوسپانسیون خوراکی
RILUZOLE,ریلومکس,قرص,50 mg,خوراکی 
CONTRACEPTIVE DE,مارلین,قرص,0.15 mg/30 ug,خوراکی 
REPAGLINIDE,رپاسد,قرص,0.5 mg,خوراکی 
PREGABALIN,پرگابالین-حکیم,کپسول,75 mg,خوراکی 
SODIUM CHLORIDE,سدیم کلراید,اسپری,0.65 % 15 mL,از راه بینی
MONTELUKAST (AS SODIUM),مونتکس,قرص,10 mg,خوراکی 
DEXAMETHASONE,دکامزون,قرص,0.5 mg,خوراکی 
EMPAGLIFLOZIN / LINAGLIPTIN / METFORMIN HYDROCHLORIDE,آوانومت,قرص,25 mg/5 mg/1000 mg,پیوسته رهش خوراکی
MOMETASONE FUROATE,مومه کورت,لوسیون,0.1 % 30 mL,موضعی 
APIXABAN,زوفوریک,قرص,2.5 mg,خوراکی 
BISACODYL,بیزاکودیل عماد,شیاف,10 mg mg,مقعدی 
IRON (AS SUCROSE),آیروکم,تزریقی,20 mg/1mL 5 mL,داخل وریدی
PANCREATIN,کرئون,کپسول,) 25000 [iU],(پلت های انتریک کوتد خوراکی
LEVETIRACETAM,کپلیو,قرص,500 mg,خوراکی 
THALIDOMIDE,مایرین,قرص,100 mg,خوراکی 
PENTOXIFYLLINE,پنتوکسی فیلا,قرص,400 mg,پیوسته رهش خوراکی
CEFTIZOXIME,سفتی زوکسیم-اکسیر,پودر,500 mg mg,برای تهیه محلول تزریقی پرنترال
ACETAMINOPHEN / CAFFEINE / CODEINE PHOSPHATE,گریپوکس تب و درد,قرص,300 mg/15 mg/15 mg,خوراکی 
CLOTRIMAZOLE,کلوتریمازول مدیفارم,کرم,1 % 50 g,واژینال 
EZETIMIBE / ROSUVASTATIN (AS CALCIUM),ازستاتین,قرص,10 mg/40 mg,خوراکی 
LEVODOPA / BENSERAZIDE,بنپارکین,قرص,100 mg/25 mg,خوراکی 
ROSUVASTATIN (AS CALCIUM),روپیکسون,قرص,10 mg,خوراکی 
CEFTAZIDIME / AVIBACTAM (AS SODIUM),زاویسفتا,پودر,2 g/0.5 g g,برای تهیه فرآورده تزریقی پرنترال
DEXPANTHENOL,درموپان,کرم,5 % 30 g,موضعی 
VANCOMYCIN (AS HYDROCHLORIDE),ونکومایسین,پودر,500 mg mg,برای تهیه محلول تزریقی پرنترال
PILOCARPINE HYDROCHLORIDE,ژوودی,"محلول،",1.25 % 5 mL,قطره چشمی
CROMOLYN SODIUM,کرومولین سدیم,محلول,20 mg/1mL 5 mL,چشمی 
POVIDONE IODINE,پوویدون آیداین-ناژو,محلول,10 % 1000 L,موضعی 
INDAPAMIDE,ناتریلیکس,قرص,1.5 mg,پیوسته رهش خوراکی
DICLOFENAC SODIUM,دیکلورامین,قرص,25 mg,انتریک کوتد خوراکی
PROGESTERONE,فرتیژست,شیاف,400 mg,واژینال 
INSULIN ASPART,انسولین آسپارت,سوسپانسیون,100 [iU]/1mL 3 mL,تزریقی پرنترال
REMDESIVIR,رمدسیویر,محلول,5 mg/1mL 20 mg,تزریقی پرنترال
CEFALEXIN,سفالکسین,کپسول,250 mg,خوراکی 
LANSOPRAZOLE,لنسوکیم,کپسول,30 mg,انتریک کوتد خوراکی
LORATADINE,لوراتادین آریا,قرص,10 mg,خوراکی 
TADALAFIL,تادالافیل,قرص,5 mg,خوراکی 
PRAMIPEXOLE (AS DIHYDROCHLORIDE),پارکیسول,قرص,0.18 mg,خوراکی 
DESLORATADINE,دسدینا,شربت,2.5 mg/5 mL 120 mL,خوراکی 
CLINDAMYCIN (AS PHOSPHATE),کلیندومکس,تزریقی,150 mg/1mL 2 mL,پرنترال 
PREGABALIN,پرلینکا,کپسول,75 mg,خوراکی 
ALBUMIN (HUMAN),آلبوژین,محلول,20 % 50 mL,تزریقی پرنترال
MIRTAZAPINE,زامرون,قرص,7.5 mg,خوراکی 
MODAFINIL,نارکوفینیل,قرص,100 mg,خوراکی 
TIRZEPATIDE,تیرزپاتاید,محلول,2.5 mg/0.5mL mg,تزریقی زیر جلدی
NITROGLYCERIN,نیتروکسیر,قرص,6.4 mg,پیوسته رهش خوراکی
IPRATROPIUM BROMIDE / SALBUTAMOL (AS SULFATE),ایپراتروپیوم بروماید / سالبوتامول,آئروسل,20 ug/100 ug 200 {dose},با دوز اندازه گیری شده استنشاقی
SIPONIMOD,سیپومید,قرص,0.25 mg,خوراکی 
TOFACITINIB (AS CITRATE),توفازا,قرص,5 mg,خوراکی 
SORAFENIB (AS TOSYLATE),رافنکس,قرص,200 mg,خوراکی 
HYDROCORTISONE,کورتنما,انما,100 mg/60mL mg,مقعدی 
CLOBAZAM,اپی بازام,سوسپانسیون,2.5 mg/1mL 120 mL,خوراکی 
MULTIVITAMIN THERAPEUTIC,مولتی ویتامین تراپوتیک,کپسول,25000 [iU]/20 mg/5 mg/50 mg/10 mg/5 ug/150 mg/0.25 mg/1000 [iU]/10 mg/1 mg/11.6 mg/100 mg/5 mg/0.5 mg/0.1 mg/10 mg/0.5 mg/72.27 mg/1 mg,خوراکی 
CEFALEXIN,سفلکس,کپسول,500 mg,خوراکی 
LENVATINIB (AS MESILATE),لنواتا,کپسول,4 mg,خوراکی 
METFORMIN HYDROCHLORIDE,متلین,قرص,500 mg,پیوسته رهش خوراکی
MUPIROCIN,موپیروسین-گیلارانکو,پماد,2 % 15 g,موضعی 
INDOMETHACIN,ایندومتاسین,شیاف,50 mg,مقعدی 
OXYMETAZOLINE HYDROCHLORIDE,اکسی نوز,اسپری,0.05 % 15 mL,از راه بینی
PREGABALIN,پرگابین,کپسول,150 mg,خوراکی 
ROSUVASTATIN (AS CALCIUM),آریستاتین,قرص,5 mg,خوراکی 
ATROPINE SULFATE,آترومکس,تزریقی,0.5 mg/1mL mg,پرنترال 
MELOXICAM,روماتوبیک,قرص,15 mg,خوراکی 
VALPROATE SODIUM,والپروات سدیم,قرص,200 mg,انتریک کوتد خوراکی
LANSOPRAZOLE,لانزو عبیدی,کپسول,30 mg,انتریک کوتد خوراکی
ACETAMINOPHEN / CAFFEINE / IBUPROFEN,ایکافن,کپسول,325 mg/40 mg/200 mg,خوراکی 
BOTULINUM A TOXIN,مصپورت,پودر,500 [iU] [iU],لئوفیلیزه برای تهیه محلول تزریقی پرنترال
OSIMERTINIB (AS MESYLATE),تاباران,قرص,80 mg,خوراکی 
BUDESONIDE / FORMOTEROL FUMARATE,استریلا,کپسول,160 ug/4.5 ug,استنشاقی 
SALMETEROL (AS XINAFOATE) / FLUTICASONE PROPIONATE,ایرپاف,آئروسل,25 ug/125 ug/1{dose} 120 {dose},با دوز اندازه گیری شده استنشاقی
PHENOBARBITAL,فنوباربیتال,قرص,15 mg,خوراکی 
TERBINAFINE HYDROCHLORIDE,تربیزان,کرم,1 % 15 g,موضعی 
TACROLIMUS,ساپروتاک,کپسول,0.5 mg,خوراکی 
EMPAGLIFLOZIN / LINAGLIPTIN / METFORMIN HYDROCHLORIDE,گلوتریو,قرص,10 mg/5 mg/1000 mg,پیوسته رهش خوراکی
ROSUVASTATIN (AS CALCIUM),آریستاتین,قرص,40 mg,خوراکی 
BUDESONIDE / FORMOTEROL FUMARATE,روهیلر روکورت (با دستگاه),کپسول,160 ug/4.5 ug,استنشاقی 
ACETYLCYSTEINE / ASCORBIC ACID,استیل سیستئین/ویتامین سی,پودر,600 mg/75 mg g,خوراکی 
VINORELBINE (AS TARTRATE),سانارلبین,کپسول,20 mg,حاوی مایع خوراکی
DOXYCYCLINE (AS MONOHYDRATE),داکسی سیکلین,کپسول,100 mg,خوراکی 
PANTOPRAZOLE (AS SODIUM SESQUIHYDRATE),بهپنتو,قرص,40 mg,انتریک کوتد خوراکی
ETHOSUXIMIDE,زارونتین,شربت,250 mg/5mL 200 mL,خوراکی 
LEVODOPA / CARBIDOPA FORTE,لسیپک,قرص,250 mg/25 mg,خوراکی 
DEXAMETHASONE (AS DISODIUM PHOSPHATE),دگزیدون,تزریقی,4 mg/1mL 2 mg,پرنترال 
FLUPHENAZINE DECANOATE,فلوفنازین,تزریقی,25 mg/1mL mL,پرنترال 
AMLODIPINE (AS BESILATE) / VALSARTAN,والماپین,قرص,10 mg/160 mg,خوراکی 
ADULT COLD PREPARATIONS (4-12),اکتوکلد شب,پودر,650 mg/10 mg/25 mg g,برای تهیه محلول خوراکی
FOSFOMYCIN (AS TROMETAMOL),فو سفینکس,گرانول,3 g g,برای تهیه محلول خوراکی
FEXOFENADINE HYDROCHLORIDE,فکسوتد,قرص,60 mg,خوراکی 
CALCIUM FOLINATE,فولینومیس,قرص,15 mg,خوراکی 
ALPRAZOLAM,آلپروکیم,قرص,0.5 mg,خوراکی 
ESOMEPRAZOLE (AS MAGNESIUM),ازومان,گرانول,10 mg g,انتریک کوتد خوراکی
DAPAGLIFLOZIN (AS PROPANEDIOL),داپاگلیفلوزین,قرص,5 mg,خوراکی 
SIMETHICONE (DIMETHICONE ACTIVATED),دایمتیکون,"سوسپانسیون،",40 mg/1mL 30 mL,قطره خوراکی
ARTIFICIAL TEARS (HYALURONATE SODIUM),سینالون ادونسد,,0.2 % mL,"محلول، قطره چشمی"
PETHIDINE HYDROCHLORIDE,رلیدین,تزریقی,50 mg/1mL 2 mg,پرنترال 
PIOGLITAZONE,پی توز,,30 mg,قرص خوراکی
ACETAMINOPHEN / CAFFEINE / IBUPROFEN,مهبافن,قرص,325 mg/40 mg/200 mg,خوراکی 
DESIPRAMINE HYDROCHLORIDE,دزیپرامین,قرص,25 mg,خوراکی 
CAPTOPRIL,کاپتوپریل,قرص,25 mg,خوراکی 
PEDIATRIC GRIPPE,پدیزان,شربت,0.67 mg/10 mg/5mL 60 mL,خوراکی 
ACETAMINOPHEN / CAFFEINE / CODEINE PHOSPHATE,کوداک فن,قرص,300 mg/15 mg/15 mg,خوراکی 
PIOGLITAZONE,دیادر,قرص,30 mg,خوراکی 
CABERGOLINE,کابرنا,قرص,0.5 mg,خوراکی 
CICLOSPORIN,ساندیمون,محلول,50 mg/1mL 5 mg,تزریقی داخل وریدی
EPHEDRINE HYDROCHLORIDE,افدرین هیدروکلراید بیوتیکا,تزریقی,50 mg/1mL 1 mg,پرنترال 
BENDAMUSTINE HYDROCHLORIDE,بنترا,پودر,100 mg mg,برای تهیه محلول تزریقی پرنترال
THIORIDAZINE HYDROCHLORIDE,تیوریدازین,قرص,25 mg,خوراکی 
ALGLUCOSIDASE ALFA,مایوزایم,پودر,50 mg mg,برای تهیه محلول تزریقی پرنترال
PIRFENIDONE,پیرفنیدون -آرنگ,قرص,200 mg,خوراکی 
ACETAMINOPHEN / DIPHENHYDRAMINE / PHENYLEPHRINE,آدیزان کیدز,شربت,160 mg/12.5 mg/2.5 mg/5mL 120 mL,خوراکی 
CLOTRIMAZOLE,کلوتریمازول-ناژو,کرم,1 % 15 g,موضعی 
SALMETEROL (AS XINAFOATE) / FLUTICASONE PROPIONATE,روفلو دی پی ای رویان,کپسول,50 ug/500 ug/1{dose},استنشاقی 
DOXORUBICIN HYDROCHLORIDE,آدریاسدال,محلول,2 mg/1mL 5 mg,غلیظ تزریقی پرنترال
MEROPENEM,مروپنم,پودر,1 g g,برای تهیه محلول تزریقی پرنترال
VITAMIN A,ویتامین آ-تداژل,کپسول,25000 [iU],حاوی مایع خوراکی
FLUPENTHIXOL DECANOATE,سوئینتکسول,تزریقی,20 mg/1mL 1 mg,پرنترال 
EPLERENONE,اپلرنون,قرص,25 mg,خوراکی 
METRONIDAZOLE,مترونیدازول,ژل,0.75 % 70 g,واژینال 
DONEPEZIL HYDROCHLORIDE / MEMANTINE HYDROCHLORIDE,مانازیل,کپسول,10 mg/7 mg,پیوسته رهش خوراکی
ROPIVACAINE HYDROCHLORIDE,روپیواکائین,,5 mg/1 mL 10 mg,محلول تزریقی پرنترال
BIPERIDEN LACTATE,آکینیدیک,تزریقی,5 mg/1mL mL,پرنترال 
CARBOPLATIN,کربوکسا,محلول,10 mg/1mL 15 mL,غلیظ تزریقی داخل وریدی
CETRORELIX,ستروناکس,پودر,250 ug ug,برای تهیه محلول تزریقی پرنترال
OXALIPLATIN,اکسالان,محلول,5 mg/1mL 20 mL,غلیظ تزریقی پرنترال
COAGULATION FACTOR VIII (RECOMBINANT),سافاکتو آ اف,پودر,1000 [iU] [iU],لئوفیلیزه برای تهیه محلول تزریقی پرنترال
SITAGLIPTIN (AS PHOSPHATE),زیپتین,قرص,100 mg,خوراکی 
CYCLOPHOSPHAMIDE,سیکلوسدال,محلول,200 mg/1mL 2.5 mg,تزریقی پرنترال
CHLORTHALIDONE,کلرتالیدون,قرص,50 mg,خوراکی 
AZITHROMYCIN,آزیترومایسین داروپخش,قرص,250 mg,خوراکی 
AZITHROMYCIN,آزیتروسپت,قرص,500 mg,خوراکی 
ADULT COLD PREPARATION (6),تراپ کلد اچ بی پی,قرص,500 mg/2 mg/15 mg,خوراکی 
ZONISAMIDE,زونیساماید,کپسول,100 mg,خوراکی 
NITROGLYCERIN,نیتروکاردین,قرص,2.6 mg,پیوسته رهش خوراکی
HEMATINIC,هماتینیک,کپسول,15 ug/350 mg/150 mg/1 mg,خوراکی 
SERTRALINE (AS HYDROCHLORIDE),سرترالین هگزال,قرص,50 mg,خوراکی 
IMIPRAMINE HYDROCHLORIDE,ایمی پرامین,قرص,25 mg,خوراکی 
TIGECYCLINE,تایگسیکلین نورمون,پودر,50 mg mg,لئوفیلیزه برای تهیه محلول تزریقی پرنترال
DULOXETINE,لوکستا,کپسول,60 mg,انتریک کوتد خوراکی
ONDANSETRON,ادیترون,قرص,4 mg,بازشونده در دهان خوراکی
OXALIPLATIN,زوپلات,محلول,5 mg/1mL 10 mL,غلیظ تزریقی پرنترال
DONEPEZIL HYDROCHLORIDE,دنپزیل-تدافارم,قرص,10 mg,خوراکی 
VANCOMYCIN (AS HYDROCHLORIDE),ونکومایسین-اکسیر,پودر,500 mg mg,برای تهیه محلول تزریقی پرنترال
PIRFENIDONE,آرفنید,قرص,200 mg,خوراکی 
DAPAGLIFLOZIN (AS PROPANEDIOL),گلوورت,قرص,5 mg,خوراکی 
BISOPROLOL FUMARATE,بیزوپرولول,قرص,5 mg,خوراکی 
PANTOPRAZOLE (AS SODIUM SESQUIHYDRATE),پنتوپرازول,کپسول,40 mg,انتریک کوتد خوراکی
CLINDAMYCIN (AS PHOSPHATE) / CLOTRIMAZOLE,کلیندامایسین/کلوتریمازول-عماد,کرم,2 %/2 % 40 g,واژینال 
VALSARTAN,وابر,قرص,80 mg,خوراکی 
IBUPROFEN,مینوژل,کپسول,400 mg,حاوی مایع خوراکی
POVIDONE IODINE,پوویدون آیداین-ناژو,محلول,10 % 250 mL,موضعی 
DOMPERIDONE,موتیلوور,قرص,10 mg,خوراکی 
OFLOXACIN,افلوکیم,قرص,300 mg,خوراکی 
BUDESONIDE,انتوکورت سی آی آر,کپسول,3 mg,پیوسته رهش خوراکی
DEFEROXAMINE MESYLATE,دسفرال,پودر,500 mg mg,برای تهیه محلول تزریقی پرنترال
DIMETHYL FUMARATE,زادیوا,کپسول,240 mg,انتریک کوتد خوراکی
MESNA,واریو-میتکسان,تزریقی,100 mg/1mL 4 mg,پرنترال 
ATRACURIUM BESYLATE,آنکور,تزریقی,10 mg/1mL 5 mL,پرنترال 
PHENYLEPHRINE HYDROCHLORIDE,فنیل افرین,اسپری,0.25 % 20 mL,از راه بینی
LEVETIRACETAM,لوتیراستام,قرص,500 mg,خوراکی 
PEMBROLIZUMAB,زاک آریا,محلول,25 mg/1mL 4 mg,تزریقی پرنترال
ORLISTAT,ونوستات +مولتی ویتامین,کپسول,120 mg,خوراکی 
EXPECTORANT CODEINE,اکسپکتورانت کدئین-خوارزمی,شربت,100 mg/30 mg/10 mg/5 mL 60 mm,خوراکی 
DEXTROMETHORPHAN HYDROBROMIDE,دکسترومتورفان نیکسادا,شربت,15 mg/5mL 60 mL,خوراکی 
LOSARTAN POTASSIUM,لوزافارم,قرص,25 mg,خوراکی 
VASELIN OFFECINAL,وازلین,پماد,100 g,موضعی 
CEFTAZIDIME / AVIBACTAM (AS SODIUM),سفتازیدیم/ آویباکتام,پودر,2 g/0.5 g g,برای تهیه فرآورده تزریقی پرنترال
ZINC OXIDE,ایپوزینک,پماد,25 % 30 g,موضعی 
ADULT COLD PREPARATIONS (4-3),سرماخوردگی بزرگسالان-جالینوس,قرص,325 mg/5 mg/2 mg,خوراکی 
CITALOPRAM,سیتالوپرام,قرص,40 mg,خوراکی 
CYCLOPHOSPHAMIDE,سیکلوسدال,پودر,200 mg mg,برای تهیه محلول تزریقی پرنترال
NILOTINIB,نیتاگزا,کپسول,150 mg,خوراکی 
LIDOCAINE,لیدوکائین,اسپری,10 mg/1{dose} 50 mm,موضعی 
ARIPIPRAZOLE,آریپیپرازول,قرص,5 mg,خوراکی 
LEVETIRACETAM,لوینتکس,محلول,100 mg/1 mL 120 mL,خوراکی 
METHYLPHENIDATE HYDROCHLORIDE,متیل فنیدیت ساندوز,قرص,54 mg,پیوسته رهش خوراکی
URSODEOXYCHOLIC ACID,کولیکاوا,کپسول,300 mg,خوراکی 
CYCLOPHOSPHAMIDE,سیکلوسدال,محلول,200 mg/1mL 5 g,تزریقی پرنترال
TRETINOIN,ترتینوئین,,0.025 % 15 g,ژل موضعی
AZITHROMYCIN,آزيترومايسين,قرص,500 mg,خوراکی 
TESTOSTERONE ENANTHATE,تستوسترون انانتات,تزریقی,250 mg/1mL 1 mL,پرنترال 
ACETAMINOPHEN,ولوتیل,محلول,120 mg/5mL 60 mL,خوراکی 
CEFIXIME,آفاکسیم,قرص,400 mg,خوراکی 
LIDOCAINE / HYDROCORTISONE ACETATE,لیدوکائین/هیدروکورتیزون استات,پماد,5 %/0.5 % 15 g,مقعدی 
RIFAXIMIN,فاکسی رین,قرص,550 mg,خوراکی 
PIRFENIDONE,پیرفنیدون,قرص,200 mg,خوراکی 
FERRIC CARBOXYMALTOSE,فرینجکت,تزریقی,50 mg/1mL 10 mg,پرنترال 
TADALAFIL,تادارکس,قرص,20 mg,خوراکی 
EMPAGLIFLOZIN / METFORMIN HYDROCHLORIDE,کوگلایزین,قرص,5 mg/500 mg,خوراکی 
ATOMOXETINE HYDROCHLORIDE,آتوبایوکس,کپسول,10 mg,خوراکی 
MESALAZINE,مزینوکس-آی اچ,قرص,1200 mg,پیوسته رهش خوراکی
ACETYLCYSTEINE,لانگ تیل,قرص,600 mg,جوشان خوراکی
RISPERIDONE,ریسپریدون,قرص,2 mg,خوراکی 
CLOTRIMAZOLE,آفی تریمازول,محلول,1 % 20 mL,موضعی 
CO-AMOXICLAV,آفاکلاو,پودر,250 mg/62.5 mg/5mL 100 mg,برای تهیه سوسپانسیون خوراکی
SODIUM CHLORIDE,کاپلیف,محلول,0.9 % 500 mL,تزریقی پرنترال
TRIAMCINOLONE ACETONIDE,متکورت,تزریقی,40 mg/1mL 1 mg,پرنترال 
BUPROPION HYDROCHLORIDE,ولبان,قرص,75 mg,خوراکی 
SELENIUM SULFIDE,سلکو,شامپو,2.5 % 140 mL,موضعی 
HYDROCORTISONE ACETATE,کورتیسوب,پماد,1 % 15 g,موضعی 
SUMATRIPTAN (AS SUCCINATE) / NAPROXEN,میگسونا,قرص,85 mg/500 mg,خوراکی 
ACETAMINOPHEN,استامینوفن,سوسپانسیون,120 mg/5mL 120 mL,خوراکی 
BUPRENORPHINE (AS HYDROCHLORIDE),بوپرنورفین,قرص,2 mg,زیرزبانی 
BECLOMETHASONE DIPROPIONATE,بکلکس,اینهالر,50 ug/1{dose} 200 {Puff},استنشاقی 
ROCURONIUM BROMIDE,روکورونیوم,محلول,10 mg/1mL 5 mL,تزریقی پرنترال
DOCETAXEL,انکوتاکسل,محلول,20 mg/1mL 1 mL,تزریقی داخل وریدی
DOXYCYCLINE (AS MONOHYDRATE),داکسی کیم,کپسول,100 mg,خوراکی 
PREGABALIN,گاباپرل,کپسول,75 mg,خوراکی 
CHLORMADINONE / ETHINYLESTRADIOL,بلارا,قرص,2 mg/0.03 mg,خوراکی 
ATORVASTATIN (AS CALCIUM),آتورواستاتین-ندا,قرص,20 mg [iU],خوراکی 
CLOTRIMAZOLE,کلوتریمازول-بهوزان,کرم,1 % 15 g,موضعی 
PEDIATRIC GRIPPE,پدیزان,شربت,0.67 mg/10 mg/5mL 120 mL,خوراکی 
ACETAMINOPHEN / CAFFEINE / IBUPROFEN,دلتافن,کپسول,325 mg/40 mg/200 mg,خوراکی 
NOREPINEPHRINE (AS BITARTRATE),نورادرنالین باسی,محلول,0.5 mg/1mL 10 mL,غلیظ تزریقی پرنترال
LOPERAMIDE HYDROCHLORIDE,آمیلوپرا,قرص,2 mg,خوراکی 
SOLIFENACIN SUCCINATE,وسیفن,قرص,10 mg,خوراکی 
MICONAZOLE NITRATE,میکونازان,کرم,2 % 45 g,واژینال 
POVIDONE IODINE,پوویدون آیداین,شامپو,7.5 % 140 mL,موضعی 
FINASTERIDE,فینوپروست,قرص,5 mg,خوراکی 
POLYMYXIN B / NEOMYCIN SULFATE / HYDROCORTISONE,میکساکورت,"سوسپانسیون،",10000 [iU]/5 mg/10 mg/1mL 5 mL,قطره گوشی
BETAMETHASONE (AS VALERATE),بتاکورتال,کرم,0.1 % 15 g,موضعی 
SILVER SULFADIAZINE,سیلبرن,کرم,1 % 50 g,موضعی 
LORATADINE,لورادین,شربت,5 mg/5 mL 60 mL,خوراکی 
ACETYLCYSTEINE,زیموسیل,گرانول,200 mg mg,خوراکی 
KETOROLAC TROMETAMOL,کتورکس,محلول,30 mg/1mL 1 mL,تزریقی پرنترال
PEMETREXED (AS DISODIUM),آلمترا,پودر,100 mg mg,لئوفیلیزه برای تهیه محلول تزریقی پرنترال
AZATHIOPRINE,آیزاتیپ,قرص,50 mg,خوراکی 
GABAPENTIN,گاباپنتین-جالینوس,کپسول,100 mg,خوراکی 
CHORIONIC GONADOTROPHIN (HUMAN),کارما-اچ سی جی,پودر,5000 [iU] [iU],برای تهیه محلول تزریقی پرنترال
ACARBOSE,آکارماکس,قرص,50 mg,خوراکی 
PERTUZUMAB,پرجتا,محلول,30 mg/1mL 14 mg,غلیظ تزریقی پرنترال
PACLITAXEL,پاکلکس,تزریقی,6 mg/1mL 25 mg,پرنترال 
TACROLIMUS,پروگرف,کپسول,0.5 mg,خوراکی 
PRAZOSIN,پرازوسین,قرص,5 mg,خوراکی 
METFORMIN HYDROCHLORIDE,آنیفورمین,قرص,750 mg,پیوسته رهش خوراکی
LACOSAMIDE,یونیماید,قرص,150 mg,خوراکی 
HYOSCINE-N-BUTYL BROMIDE,هیوبست,قرص,10 mg,خوراکی 
NAPHAZOLINE HYDROCHLORIDE,ناپریزول,"محلول،",0.05 % 10 mL,قطره از راه بینی
PRALIDOXIME IODIDE,آلدوپام,محلول,25 mg/1 mL 20 mg,تزریقی پرنترال
CLINDAMYCIN (AS PHOSPHATE),کلیناواگ,کرم,2 % 40 g,واژینال 
ACETAMINOPHEN / CAFFEINE / IBUPROFEN,پلاس فن,کپسول,325 mg/40 mg/200 mg,خوراکی 
PIROXICAM,لوپیروکس,تزریقی,20 mg/1mL mg,پرنترال 
ESOMEPRAZOLE,اس امپرازول,پودر,40 mg mg,برای تهیه فرآورده تزریقی پرنترال
RANOLAZINE,هایلوز,قرص,500 mg,پیوسته رهش خوراکی
MEROPENEM,مروکسان,پودر,1 g,برای تهیه محلول تزریقی پرنترال
SUCCINYLCHOLINE CHLORIDE,سوکسیل,تزریقی,20 mg/1mL 5 mL,پرنترال 
RISPERIDONE,ریسپادون,قرص,2 mg,خوراکی 
OXYMETHOLONE,اکسی متولون-الحاوی,قرص,50 mg,خوراکی 
ACETAMINOPHEN / GUAIFENESIN / PHENYLEPHRINE,دی بی- کلد,شربت,125 mg/50 mg/2.5 mg/5mL 120 mL,خوراکی 
LOMUSTINE,بلوستین,کپسول,40 mg,خوراکی 
ENOXAPARIN SODIUM,کلگزاپارین,تزریقی,100 mg/1mL 0.6 mL,پرنترال 
CICLOSPORIN,ریجستاپ,کپسول,50 mg,حاوی مایع خوراکی
PROPRANOLOL HYDROCHLORIDE,پرانول,قرص,20 mg,خوراکی 
METFORMIN HYDROCHLORIDE,اسوه-متفورمین,قرص,500 mg,خوراکی 
TRASTUZUMAB,هرسپتین,پودر,150 mg mg,لئوفیلیزه برای تهیه محلول تزریقی پرنترال
SITAGLIPTIN (AS PHOSPHATE),زیپتین,قرص,50 mg,خوراکی 
HUMAN PAPILLOMAVIRUS VACCINE (BIVALENT),پاپیلوگارد,تزریقی,0.5 mL mL,پرنترال 
VITAMIN C,ویتامین سی-اکسیر® 100م گ آمپول,تزریقی,100 mg/1mL 5,پرنترال 
NOREPINEPHRINE (AS BITARTRATE),نورآدرنالین باسی,محلول,0.5 mg/1mL 4 mL,غلیظ تزریقی پرنترال
FUROSEMIDE,فوروزماید,قرص,40 mg,خوراکی 
SALMETEROL (AS XINAFOATE) / FLUTICASONE PROPIONATE,سالمفلو,آئروسل,25 ug/125 ug/1{dose} 120 {dose},با دوز اندازه گیری شده استنشاقی
METFORMIN HYDROCHLORIDE,زوگر,قرص,750 mg,پیوسته رهش خوراکی
FLECAINIDE ACETATE,فلریتم,قرص,100 mg,خوراکی 
SERTRALINE (AS HYDROCHLORIDE),اینوسترال,قرص,50 mg,خوراکی 
IMMUNE GLOBULIN,رپلینکس,تزریقی,50 mg/1mL 50 mL,داخل وریدی
NAPROXEN,ناپروکسن-سبحان,قرص,500 mg,انتریک کوتد خوراکی
FLECAINIDE ACETATE,ریتکارد,قرص,100 mg,خوراکی 
ZINC OXIDE,زینک اکساید مینو,پماد,25 % 30 g,موضعی 
SITAGLIPTIN (AS PHOSPHATE),سیتاگلیپتین,قرص,100 mg,خوراکی 
SORAFENIB (AS TOSYLATE),نکساوار,قرص,200 mg,خوراکی 
THALIDOMIDE,تالیدوراید اچ پی ام,کپسول,100 mg,خوراکی 
AMIKACIN (AS SULFATE),آمیکاسین-اکسیر,تزریقی,50 mg/1mL 2 mg,پرنترال 
ROPIVACAINE HYDROCHLORIDE,روپیواکائین,محلول,5 mg/1 mL 10 mL,تزریقی پرنترال
SITAGLIPTIN (AS PHOSPHATE),دیاپتین,قرص,100 mg,خوراکی 
CO-AMOXICLAV,آفا کلاو,قرص,500 mg/125 mg,خوراکی 
PHENYLEPHRINE HYDROCHLORIDE,افونیکس,اسپری,0.5 % 15 mL,از راه بینی
DICLOFENAC SODIUM,دیکلوتان,قرص,50 mg,انتریک کوتد خوراکی
PANCREATIN,پانکراتین,قرص,8000 [iU],انتریک کوتد خوراکی
BISACODYL,زاکودیل,قرص,5 mg,انتریک کوتد خوراکی
CEFAZOLIN,سفزولیکس,پودر,1 g g,برای تهیه محلول تزریقی پرنترال
IBRUTINIB,ایبرونب,قرص,140 mg,خوراکی 
CEFTRIAXONE (AS SODIUM),آفاکسون,پودر,500 mg mg,برای تهیه محلول تزریقی پرنترال
DOBUTAMINE (AS HYDROCHLORIDE),دوبوتامین,محلول,12.5 mg/1mL 20 mL,تزریقی داخل وریدی
BRIVARACETAM,بریواستا,قرص,50 mg,خوراکی 
METHYL SALICYLATE,متدیک,پماد,30 % 30 g,موضعی 
NITROGLYCERIN,نیتروکاردین,تزریقی,1 mg/1mL 5 mL,پرنترال 
CLOTRIMAZOLE / BETAMETHASONE (AS DIPROPIONATE),آفی کلوزون,لوسیون,1 %/0.05 % 30 mL,موضعی 
